Unnamed: 0,price,GrossSquareMeters,BuildingAge,NumberFloorsofBuilding,NumberOfBathrooms,NetSquareMeters,NumberOfRooms,FloorLocation
0,3100000.0,160.0,21.0,3,2.0,120.0,,
1,1600000.0,120.0,5.0,3,1.0,100.0,,
2,18500000.0,350.0,21.0,2,3.0,300.0,,
3,9500000.0,550.0,11.0,3,4.0,540.0,,
4,25000000.0,840.0,21.0,4,3.0,700.0,,
5,7000000.0,200.0,21.0,2,1.0,170.0,,
6,3250000.0,400.0,21.0,3,5.0,370.0,,
7,2850000.0,250.0,21.0,2,2.0,200.0,,
8,8350000.0,360.0,21.0,2,2.0,240.0,,
9,10800000.0,180.0,21.0,2,1.0,140.0,,
10,2200000.0,125.0,21.0,3,2.0,100.0,,
11,1000000.0,140.0,21.0,2,2.0,100.0,,
12,8250000.0,260.0,21.0,3,4.0,240.0,,
13,4885000.0,500.0,21.0,2,4.0,472.0,,
14,345500003.0,430.0,21.0,3,3.0,350.0,,
15,2915000.0,130.0,21.0,2,2.0,110.0,,
16,885000.0,75.0,21.0,3,1.0,60.0,,
17,9500000.0,550.0,11.0,3,4.0,540.0,,
18,2600000.0,250.0,21.0,2,3.0,230.0,,
19,3100000.0,250.0,21.0,3,,249.0,,
20,4200000.0,682.0,21.0,2,3.0,150.0,,
21,4200000.0,682.0,21.0,2,4.0,150.0,,
22,9000000.0,550.0,11.0,3,1.0,530.0,,
23,9000000.0,550.0,11.0,2,,549.0,,
24,21000000.0,2.25,21.0,3,4.0,2.0,,
25,3250000.0,180.0,21.0,3,1.0,170.0,,
26,515000.0,100.0,2.0,4,1.0,90.0,,
27,1000000.0,200.0,0.0,5,2.0,180.0,,
28,506000.0,100.0,5.0,5,2.0,90.0,,
29,6600003.0,90.0,5.0,4,1.0,80.0,,
30,125000090.0,260.0,0.0,5,2.0,250.0,,
31,42000090.0,100.0,0.0,5,1.0,90.0,,
32,765000.0,180.0,0.0,2,2.0,165.0,,
33,765000.0,180.0,0.0,2,2.0,165.0,,
34,480000.0,85.0,3.0,4,1.0,70.0,,
35,715000.0,105.0,4.0,4,1.0,100.0,,
36,850000.0,160.0,0.0,5,1.0,150.0,,
37,1150000.0,225.0,5.0,5,2.0,200.0,,
38,660000.0,105.0,5.0,5,1.0,95.0,,
39,4000000.0,350.0,16.0,4,3.0,300.0,,
40,740000.0,100.0,0.0,5,1.0,85.0,,
41,625000.0,100.0,0.0,4,1.0,90.0,,
42,800000.0,160.0,0.0,5,1.0,150.0,,
43,590000.0,95.0,0.0,5,1.0,85.0,,
44,650000.0,95.0,0.0,4,1.0,85.0,,
45,850000.0,90.0,5.0,6,1.0,1.0,,
46,1150000.0,350.0,11.0,1,1.0,300.0,,
47,5800000.0,330.0,11.0,3,3.0,310.0,,
48,420000.0,100.0,0.0,4,1.0,90.0,,
49,735000.0,100.0,0.0,5,2.0,95.0,,
50,1150000.0,220.0,0.0,5,2.0,195.0,,
51,1000000.0,190.0,3.0,5,1.0,160.0,,
52,720000.0,100.0,0.0,5,1.0,95.0,,
53,570000.0,85.0,5.0,4,1.0,70.0,,
54,1250000.0,260.0,0.0,4,2.0,250.0,,
55,870000.0,170.0,0.0,4,1.0,150.0,,
56,675000.0,95.0,1.0,4,1.0,84.0,,
57,555000.0,90.0,0.0,4,1.0,85.0,,
58,950000.0,140.0,0.0,4,1.0,130.0,,
59,9000006.0,140.0,0.0,3,1.0,130.0,,
60,570000.0,105.0,0.0,4,1.0,90.0,,
61,8500000.0,600.0,5.0,4,4.0,560.0,,
62,1150000.0,303.0,11.0,1,1.0,300.0,,
63,1990000.0,194.0,16.0,5,1.0,170.0,,
64,395000.0,95.0,4.0,4,1.0,85.0,,
65,995000.0,185.0,3.0,3,2.0,170.0,,
66,835000.0,210.0,0.0,4,2.0,180.0,,
67,645000.0,125.0,5.0,4,1.0,110.0,,
68,450000.0,100.0,0.0,5,1.0,95.0,,
69,995000.0,200.0,0.0,4,3.0,180.0,,
70,585000.0,120.0,0.0,4,1.0,110.0,,
71,940000.0,95.0,11.0,14,1.0,73.0,,
72,520000.0,55.0,1.0,4,1.0,45.0,,
73,700000.0,90.0,4.0,6,1.0,80.0,,
74,890000.0,85.0,0.0,5,1.0,80.0,,
75,1275000.0,175.0,0.0,5,2.0,160.0,,
76,420000.0,70.0,5.0,5,1.0,65.0,,
77,1100000.0,120.0,5.0,1,1.0,110.0,,
78,2000000.0,120.0,21.0,5,1.0,115.0,,
79,6000000.0,300.0,21.0,2,2.0,240.0,,
80,725000.0,105.0,5.0,5,1.0,90.0,,
81,875000.0,115.0,0.0,5,1.0,105.0,,
82,875000.0,115.0,0.0,5,1.0,105.0,,
83,950000.0,95.0,11.0,11,1.0,73.0,,
84,525000.0,95.0,4.0,4,1.0,90.0,,
85,429000.0,105.0,5.0,6,1.0,100.0,,
86,555000.0,130.0,11.0,6,1.0,120.0,,
87,1200000.0,200.0,0.0,4,2.0,190.0,,
88,870000.0,140.0,0.0,4,1.0,130.0,,
89,619000.0,100.0,0.0,5,1.0,90.0,,
90,1350000.0,250.0,0.0,5,2.0,230.0,,
91,550000.0,115.0,5.0,7,1.0,100.0,,
92,750000.0,100.0,0.0,4,1.0,95.0,,
93,1700000.0,285.0,21.0,2,4.0,275.0,,
94,10000000.0,700.0,5.0,3,1.0,695.0,,
95,700000.0,185.0,0.0,5,2.0,170.0,,
96,725000.0,180.0,2.0,5,2.0,160.0,,
97,350000.0,1.0,5.0,2,1.0,1.0,,
98,700000.0,80.0,0.0,5,1.0,75.0,,
99,500000.0,110.0,0.0,5,1.0,100.0,,
100,2875999.0,210.0,11.0,3,2.0,180.0,,
101,670000.0,100.0,0.0,4,1.0,90.0,,
102,920000.0,107.0,0.0,5,2.0,100.0,,
103,675000.0,170.0,3.0,4,1.0,160.0,,
104,315000.0,85.0,5.0,5,1.0,1.0,,
105,800000.0,135.0,3.0,6,1.0,125.0,,
106,1050000.0,220.0,4.0,4,2.0,200.0,,
107,1800000.0,272.0,21.0,3,3.0,135.0,,
108,8000000.0,844.0,11.0,2,3.0,843.0,,
109,8000000.0,844.0,11.0,2,3.0,843.0,,
110,800000.0,170.0,3.0,4,2.0,150.0,,
111,6300008.0,110.0,16.0,5,1.0,100.0,,
112,900000.0,175.0,11.0,4,1.0,163.0,,
113,950000.0,130.0,1.0,4,1.0,120.0,,
114,465000.0,128.0,4.0,7,4.0,127.0,,
115,800000.0,204.0,5.0,2,2.0,90.0,,
116,278000.0,95.0,11.0,5,1.0,85.0,,
117,810000.0,185.0,0.0,3,2.0,170.0,,
118,1990000.0,352.0,21.0,2,2.0,140.0,,
119,6250000.0,650.0,11.0,4,3.0,600.0,,
120,650000.0,140.0,0.0,4,1.0,130.0,,
121,3950000.0,590.0,5.0,4,4.0,589.0,,
122,700000.0,130.0,0.0,5,1.0,110.0,,
123,610000.0,100.0,11.0,5,1.0,95.0,,
124,720000.0,84.0,2.0,10,1.0,70.0,,
125,715000.0,135.0,4.0,4,1.0,125.0,,
126,758000.0,132.0,11.0,3,1.0,128.0,,
127,600000.0,120.0,0.0,4,1.0,110.0,,
128,700000.0,85.0,5.0,10,1.0,75.0,,
129,1350000.0,260.0,0.0,4,2.0,250.0,,
130,375000.0,100.0,21.0,5,1.0,1.0,,
131,3000000.0,325.0,16.0,5,2.0,324.0,,
132,560000.0,90.0,0.0,3,1.0,80.0,,
133,550000.0,120.0,5.0,6,1.0,115.0,,
134,1050000.0,200.0,0.0,5,3.0,180.0,,
135,630000.0,120.0,0.0,5,1.0,115.0,,
136,650000.0,110.0,5.0,5,1.0,95.0,,
137,730000.0,95.0,0.0,5,1.0,85.0,,
138,630000.0,90.0,0.0,5,1.0,85.0,,
139,630000.0,120.0,0.0,5,1.0,115.0,,
140,925000.0,200.0,5.0,4,3.0,180.0,,
141,580000.0,95.0,0.0,5,1.0,85.0,,
142,789000.0,111.0,5.0,3,1.0,110.0,,
143,620000.0,115.0,3.0,4,1.0,105.0,,
144,70000016.0,84.0,5.0,10,1.0,65.0,,
145,650000.0,110.0,0.0,4,2.0,100.0,,
146,850000.0,170.0,0.0,4,2.0,150.0,,
147,1000000.0,200.0,4.0,5,2.0,185.0,,
148,415000.0,80.0,0.0,4,1.0,75.0,,
149,1000000.0,180.0,0.0,5,2.0,170.0,,
150,530000.0,95.0,4.0,5,1.0,90.0,,
151,725000.0,102.0,0.0,6,2.0,95.0,,
152,525000.0,130.0,0.0,4,1.0,120.0,,
153,1550000.0,271.0,21.0,6,,270.0,,
154,950000.0,200.0,3.0,5,3.0,180.0,,
155,690000.0,84.0,5.0,12,1.0,80.0,,
156,12000000.0,350.0,11.0,3,,300.0,,
157,385000.0,60.0,2.0,4,1.0,50.0,,
158,7200004.0,160.0,4.0,4,2.0,140.0,,
159,725000.0,100.0,0.0,6,1.0,90.0,,
160,840000.0,140.0,0.0,4,1.0,130.0,,
161,865000.0,160.0,0.0,5,2.0,150.0,,
162,665000.0,90.0,0.0,5,1.0,80.0,,
163,900000.0,200.0,3.0,4,2.0,170.0,,
164,1025000.0,190.0,0.0,4,2.0,180.0,,
165,950000.0,200.0,0.0,6,2.0,190.0,,
166,1025000.0,190.0,0.0,4,1.0,180.0,,
167,730000.0,145.0,5.0,6,1.0,135.0,,
168,408000.0,85.0,4.0,4,1.0,75.0,,
169,470000.0,75.0,0.0,4,1.0,65.0,,
170,6250000.0,175.0,5.0,2,3.0,150.0,,
171,1150000.0,200.0,0.0,4,2.0,170.0,,
172,990000.0,310.0,16.0,3,3.0,300.0,,
173,1500000.0,190.0,0.0,5,2.0,170.0,,
174,685000.0,100.0,0.0,3,1.0,95.0,,
175,530000.0,70.0,5.0,5,1.0,60.0,,
176,825000.0,145.0,0.0,3,2.0,122.0,,
177,370000.0,196.0,0.0,1,1.0,195.0,,
178,783000.0,160.0,3.0,3,2.0,150.0,,
179,380000.0,110.0,5.0,5,1.0,100.0,,
180,670000.0,115.0,3.0,3,2.0,105.0,,
181,1700000.0,220.0,0.0,4,4.0,200.0,,
182,685000.0,84.0,5.0,12,1.0,80.0,,
183,1350000.0,220.0,0.0,4,2.0,200.0,,
184,1600000.0,240.0,0.0,4,4.0,200.0,,
185,680000.0,95.0,0.0,4,2.0,85.0,,
186,900000.0,150.0,0.0,4,2.0,140.0,,
187,5900000.0,850.0,5.0,2,3.0,849.0,,
188,1200000.0,185.0,4.0,5,2.0,170.0,,
189,735000.0,100.0,0.0,5,1.0,90.0,,
190,1075000.0,190.0,0.0,5,3.0,180.0,,
191,1150000.0,220.0,4.0,5,2.0,200.0,,
192,645000.0,110.0,0.0,3,1.0,100.0,,
193,530000.0,95.0,0.0,3,1.0,85.0,,
194,650000.0,90.0,0.0,4,1.0,85.0,,
195,375000.0,110.0,11.0,4,1.0,100.0,,
196,630000.0,120.0,5.0,3,1.0,115.0,,
197,680000.0,100.0,3.0,5,1.0,90.0,,
198,830000.0,135.0,0.0,3,1.0,125.0,,
199,575000.0,110.0,0.0,3,1.0,100.0,,
200,864999.0,195.0,1.0,3,2.0,180.0,,
201,475000.0,95.0,0.0,4,1.0,90.0,,
202,510000.0,125.0,11.0,4,1.0,110.0,,
203,800000.0,170.0,3.0,4,2.0,160.0,,
204,430000.0,110.0,0.0,4,1.0,100.0,,
205,1050000.0,701.0,11.0,1,1.0,700.0,,
206,435000.0,105.0,0.0,4,1.0,85.0,,
207,550000.0,90.0,0.0,3,1.0,80.0,,
208,685000.0,195.0,0.0,3,2.0,185.0,,
209,430000.0,120.0,0.0,3,1.0,110.0,,
210,550000.0,100.0,0.0,3,1.0,90.0,,
211,1200000.0,225.0,11.0,6,2.0,200.0,,
212,635000.0,120.0,0.0,5,2.0,100.0,,
213,740000.0,125.0,0.0,3,2.0,115.0,,
214,700000.0,125.0,0.0,3,1.0,115.0,,
215,825000.0,125.0,0.0,3,1.0,115.0,,
216,825000.0,130.0,0.0,3,1.0,120.0,,
217,540000.0,98.0,0.0,3,1.0,90.0,,
218,2200000.0,155.0,1.0,7,2.0,139.0,,
219,5000000.0,3.001,5.0,2,2.0,3.0,,
220,650000.0,90.0,11.0,5,1.0,85.0,,
221,530000.0,105.0,3.0,5,1.0,90.0,,
222,270000.0,85.0,5.0,4,1.0,80.0,,
223,960000.0,120.0,0.0,4,1.0,105.0,,
224,550000.0,100.0,3.0,5,1.0,95.0,,
225,330000.0,90.0,3.0,4,1.0,85.0,,
